Company,RAM,Storage,Front Camera,Back Camera,Battery Capacity,Price
Redmi,4.0,64.0,8,12,5000,7999
Realme,4.0,64.0,16,64,4300,12999
Realme,3.0,32.0,5,12,5000,6999
Realme,8.0,128.0,16,64,4300,18999
Vivo,3.0,32.0,8,13,5000,8990
Realme,6.0,64.0,16,64,4300,16999
Realme,4.0,128.0,8,12,5000,9999
Realme,4.0,64.0,5,12,5000,7999
Redmi,2.0,32.0,8,12,5000,6499
I,4.0,64.0,5,8,3000,4499
Realme,6.0,128.0,16,64,4300,14999
Realme,3.0,32.0,13,12,5000,8499
I,2.0,16.0,0,5,2800,3749
Realme,3.0,32.0,5,13,4000,6999
Vivo,6.0,128.0,32,16,5000,15990
Vivo,4.0,64.0,32,16,5000,12990
Realme,4.0,64.0,16,48,4035,11999
Realme,6.0,64.0,16,48,4035,12999
Realme,8.0,128.0,16,48,4035,14999
Realme,8.0,128.0,16,64,4300,15999
OPPO,8.0,256.0,16,48,4065,49990
Vivo,3.0,64.0,8,13,5000,9490
Redmi,3.0,32.0,8,12,5000,6999
POCO,6.0,128.0,20,64,4500,16999
POCO,8.0,256.0,20,64,4500,19999
Yu,2.0,16.0,5,13,4000,3799
Lava,0.0234375,0.0234375,0,0,800,745
I,2.0,16.0,0,5,2800,3699
Vivo,6.0,128.0,32,48,4500,16990
Vivo,6.0,64.0,32,48,4500,15990
Vivo,8.0,128.0,32,48,4500,17990
POCO,8.0,256.0,20,12,4000,16999
OnePlus,8.0,256.0,16,48,3800,37999
Redmi,4.0,64.0,13,48,4000,9999
Realme,8.0,128.0,16,64,4000,17999
Nokia,0.00390625,0.00390625,0,0,800,1075
Nokia,0.00390625,0.00390625,0,0,800,1077
Nokia,0.00390625,0.00390625,0,0,800,1097
Nokia,0.00390625,0.00390625,0,0,800,1099
Moto,4.0,64.0,8,13,3000,7499
Google,4.0,64.0,8,12,3000,26999
OnePlus,8.0,128.0,16,48,3800,35490
Infinix,4.0,64.0,8,13,5000,7499
OPPO,4.0,64.0,16,13,4230,15999
Vivo,8.0,128.0,32,48,4500,18990
Honor,4.0,128.0,32,24,3400,9999
Honor,4.0,128.0,32,24,3400,10999
Micromax,0.03125,0.03125,0,1,800,688
Micromax,0.03125,0.03125,0,0,2500,770
OPPO,4.0,64.0,8,12,4230,11490
OPPO,6.0,64.0,16,48,4000,15990
Vivo,2.0,32.0,5,13,4030,6990
Tecno,4.0,64.0,16,48,5000,9999
Samsung,4.0,64.0,8,12,3000,19999
Redmi,6.0,64.0,20,12,4000,12999
Realme,4.0,128.0,16,48,3765,14999
Redmi,8.0,128.0,0,64,4500,19999
Redmi,6.0,128.0,0,64,4500,16698
Redmi,6.0,64.0,0,64,4500,15401
Redmi,6.0,128.0,0,64,4500,16499
Vivo,3.0,32.0,8,13,4030,8490
Vivo,4.0,128.0,16,16,5000,13990
I,2.0,16.0,0,5,2500,3199
Redmi,6.0,64.0,13,48,4000,10999
OPPO,8.0,128.0,16,48,4000,19990
Vivo,3.0,64.0,8,13,5000,9990
Lava,0.00390625,0.0029296875,0,0,1750,949
Redmi,3.0,32.0,8,13,5000,7888
Redmi,2.0,32.0,8,13,5000,7350
Redmi,3.0,32.0,8,13,5000,7999
Mi,6.0,128.0,5,12,3400,14999
Vivo,6.0,64.0,0,16,5000,12970
Redmi,6.0,64.0,0,64,4500,15221
Samsung,4.0,64.0,0,48,6000,14999
Samsung,3.0,32.0,8,13,4000,10099
Vivo,4.0,64.0,0,16,5000,13999
Samsung,8.0,128.0,32,64,4500,29999
Redmi,6.0,128.0,20,48,4000,23999
Samsung,2.0,32.0,8,13,4000,8499
Micromax,0.03125,0.03125,0,0,3000,999
Vivo,4.0,128.0,20,13,5000,13990
Micromax,0.0546875,0.0234375,0,0,1750,762
Micromax,0.03125,0.03125,0,0,1750,1086
OPPO,4.0,64.0,8,13,4230,7990
Asus,3.0,32.0,8,13,4000,5499
Vivo,6.0,128.0,32,16,4500,17990
OPPO,4.0,64.0,8,12,5000,12990
Samsung,0.009765625,0.001953125,0,0,1000,2292
Redmi,3.0,32.0,13,48,4000,8999
Motorola,4.0,128.0,12,12,3500,10999
Micromax,0.03125,0.03125,0,1,800,707
