Company,RAM,Storage,Front Camera,Back Camera,Battery Capacity,Original Price,Sale Price,Original Class,Sale Class
Redmi,4.0,64.0,8,12,5000,7999,7999,Budget,Budget
Realme,4.0,64.0,16,64,4300,12999,12999,Budget,Budget
Realme,3.0,32.0,5,12,5000,6999,6999,Budget,Budget
Realme,8.0,128.0,16,64,4300,18999,18999,Mid-Range,Mid-Range
Vivo,3.0,32.0,8,13,5000,8990,8990,Budget,Budget
Realme,6.0,64.0,16,64,4300,16999,16999,Mid-Range,Mid-Range
Realme,4.0,128.0,8,12,5000,9999,11999,Budget,Budget
Realme,4.0,64.0,5,12,5000,7999,7999,Budget,Budget
Redmi,2.0,32.0,8,12,5000,6499,6499,Budget,Budget
I,4.0,64.0,5,8,3000,4499,4499,Low,Low
Realme,6.0,128.0,16,64,4300,14999,14999,Budget,Budget
Realme,3.0,32.0,13,12,5000,8499,8499,Budget,Budget
I,2.0,16.0,0,5,2800,3749,4399,Low,Low
Realme,3.0,32.0,5,13,4000,6999,6999,Budget,Budget
Vivo,6.0,128.0,32,16,5000,15990,14990,Mid-Range,Budget
Vivo,4.0,64.0,32,16,5000,12990,11990,Budget,Budget
Realme,4.0,64.0,16,48,4035,11999,11999,Budget,Budget
Realme,6.0,64.0,16,48,4035,12999,12999,Budget,Budget
Realme,8.0,128.0,16,48,4035,14999,14999,Budget,Budget
Realme,8.0,128.0,16,64,4300,15999,15999,Mid-Range,Mid-Range
OPPO,8.0,256.0,16,48,4065,49990,49990,Premium,Premium
Vivo,3.0,64.0,8,13,5000,9490,9490,Budget,Budget
Redmi,3.0,32.0,8,12,5000,6999,6999,Budget,Budget
POCO,6.0,128.0,20,64,4500,16999,16999,Mid-Range,Mid-Range
POCO,8.0,256.0,20,64,4500,19999,19999,Mid-Range,Mid-Range
Yu,2.0,16.0,5,13,4000,3799,3799,Low,Low
Lava,0.0234375,0.0234375,0,0,800,745,745,Low,Low
I,2.0,16.0,0,5,2800,3699,3699,Low,Low
Vivo,6.0,128.0,32,48,4500,16990,16990,Mid-Range,Mid-Range
Vivo,6.0,64.0,32,48,4500,15990,15990,Mid-Range,Mid-Range
Vivo,8.0,128.0,32,48,4500,17990,17990,Mid-Range,Mid-Range
POCO,8.0,256.0,20,12,4000,16999,16999,Mid-Range,Mid-Range
OnePlus,8.0,256.0,16,48,3800,37999,37095,Premium,Premium
Redmi,4.0,64.0,13,48,4000,9999,9999,Budget,Budget
Realme,8.0,128.0,16,64,4000,17999,17999,Mid-Range,Mid-Range
Nokia,0.00390625,0.00390625,0,0,800,1075,1084,Low,Low
Nokia,0.00390625,0.00390625,0,0,800,1077,1079,Low,Low
Nokia,0.00390625,0.00390625,0,0,800,1097,1097,Low,Low
Nokia,0.00390625,0.00390625,0,0,800,1099,1099,Low,Low
Moto,4.0,64.0,8,13,3000,7499,7499,Budget,Budget
Google,4.0,64.0,8,12,3000,26999,26999,Mid-Range,Mid-Range
OnePlus,8.0,128.0,16,48,3800,35490,35635,Premium,Premium
Infinix,4.0,64.0,8,13,5000,7499,7499,Budget,Budget
OPPO,4.0,64.0,16,13,4230,15999,15999,Mid-Range,Mid-Range
Vivo,8.0,128.0,32,48,4500,18990,18990,Mid-Range,Mid-Range
Honor,4.0,128.0,32,24,3400,9999,9999,Budget,Budget
Honor,4.0,128.0,32,24,3400,10999,10999,Budget,Budget
Micromax,0.03125,0.03125,0,1,800,688,690,Low,Low
Micromax,0.03125,0.03125,0,0,2500,770,770,Low,Low
OPPO,4.0,64.0,8,12,4230,11490,11490,Budget,Budget
OPPO,6.0,64.0,16,48,4000,15990,15990,Mid-Range,Mid-Range
Vivo,2.0,32.0,5,13,4030,6990,6990,Budget,Budget
Tecno,4.0,64.0,16,48,5000,9999,9999,Budget,Budget
Samsung,4.0,64.0,8,12,3000,19999,19999,Mid-Range,Mid-Range
Redmi,6.0,64.0,20,12,4000,12999,8999,Budget,Budget
Realme,4.0,128.0,16,48,3765,14999,14999,Budget,Budget
Redmi,8.0,128.0,0,64,4500,19999,19395,Mid-Range,Mid-Range
Redmi,6.0,128.0,0,64,4500,16698,17399,Mid-Range,Mid-Range
Redmi,6.0,64.0,0,64,4500,15401,15745,Mid-Range,Mid-Range
Redmi,6.0,128.0,0,64,4500,16499,16969,Mid-Range,Mid-Range
Vivo,3.0,32.0,8,13,4030,8490,8490,Budget,Budget
Vivo,4.0,128.0,16,16,5000,13990,13990,Budget,Budget
I,2.0,16.0,0,5,2500,3199,2999,Low,Low
Redmi,6.0,64.0,13,48,4000,10999,10999,Budget,Budget
OPPO,8.0,128.0,16,48,4000,19990,19990,Mid-Range,Mid-Range
Vivo,3.0,64.0,8,13,5000,9990,9990,Budget,Budget
Lava,0.00390625,0.0029296879999999997,0,0,1750,949,949,Low,Low
Redmi,3.0,32.0,8,13,5000,7888,7790,Budget,Budget
Redmi,2.0,32.0,8,13,5000,7350,7366,Budget,Budget
Redmi,3.0,32.0,8,13,5000,7999,7428,Budget,Budget
Mi,6.0,128.0,5,12,3400,14999,14999,Budget,Budget
Vivo,6.0,64.0,0,16,5000,12970,12756,Budget,Budget
Redmi,6.0,64.0,0,64,4500,15221,14965,Mid-Range,Budget
Samsung,4.0,64.0,0,48,6000,14999,14990,Budget,Budget
Samsung,3.0,32.0,8,13,4000,10099,9499,Budget,Budget
Vivo,4.0,64.0,0,16,5000,13999,11990,Budget,Budget
Samsung,8.0,128.0,32,64,4500,29999,29999,Mid-Range,Mid-Range
Redmi,6.0,128.0,20,48,4000,23999,23999,Mid-Range,Mid-Range
