Company,RAM,Storage,Front Camera,Back Camera,Battery Capacity,Internet Connectivity 4G,Price
Realme,4,64,8,12,5000,1,8999
Realme,4,64,8,12,5000,1,8999
Redmi,4,64,8,12,5000,1,7999
Redmi,4,64,13,48,4000,1,9999
Realme,4,64,5,12,5000,1,7999
Redmi,3,32,8,12,5000,1,6999
Redmi,2,32,8,12,5000,1,6499
Redmi,6,64,13,48,4000,1,10999
Redmi,2,32,5,12,4000,1,6199
Apple,0,32,7,12,0,1,27999
Redmi,2,32,8,12,5000,1,6499
OPPO,4,64,25,16,3600,1,13990
Realme,4,64,16,48,4035,1,12999
Realme,8,128,16,48,4035,1,15999
Realme,6,64,16,48,4035,1,13999
Vivo,4,64,32,16,5000,1,12990
Vivo,6,128,32,16,5000,1,15990
Vivo,6,64,32,16,5000,1,13990
Vivo,4,64,32,16,5000,1,12990
Redmi,2,32,5,12,4000,1,6199
Realme,3,32,13,13,4230,1,7499
Infinix,4,64,8,13,5000,1,6999
Infinix,4,64,8,13,5000,1,6999
POCO,8,256,20,12,4000,1,16999
Vivo,4,64,8,13,5000,1,10990
Redmi,6,128,13,48,4000,1,12999
Redmi,3,32,8,12,5000,1,6999
Realme,3,32,13,13,4230,1,6999
Gionee,2,16,5,8,2670,1,3499
I Kall,4,64,5,8,3000,1,4499
Vivo,6,64,32,48,4500,1,15990
Vivo,8,128,32,48,4500,1,17990
Realme,3,32,5,13,4000,1,6999
I Kall,2,16,0,5,2800,1,3599
Realme,3,64,13,13,4230,1,7999
Redmi,4,64,13,48,4000,1,10499
Vivo,3,64,8,13,5000,1,9490
Lava,24,24,0,0,800,0,745
Realme,8,128,32,64,4000,1,19999
I Kall,2,16,0,5,2500,1,3199
Redmi,1,16,5,8,3000,1,4499
Redmi,6,64,13,48,4000,1,10999
Redmi,6,64,13,48,4000,1,10999
I Kall,4,32,0,5,3000,1,5699
Honor,6,128,16,48,4000,1,16999
Realme,8,128,16,64,4000,1,18999
Realme,4,64,16,64,4000,1,15999
Realme,6,64,16,64,4000,1,16999
Vivo,6,128,32,48,4500,1,16990
I Kall,4,64,5,8,3000,1,4499
Micromax,32,32,0,1,1000,0,779
Vivo,6,64,32,48,4500,1,15990
Vivo,8,128,32,48,4500,1,17990
I Kall,2,16,0,5,2800,1,3599
Vivo,6,128,32,48,4500,1,16990
Vivo,3,32,8,13,4030,1,8490
OPPO,4,64,16,13,4230,1,9990
OPPO,3,64,16,13,4230,1,12990
OPPO,6,64,16,48,4000,1,15990
I Kall,2,16,0,5,2500,1,3199
Vivo,4,128,16,16,5000,1,13990
Vivo,4,128,16,16,5000,1,13990
Samsung,4,64,16,48,6000,1,14278
I Kall,4,32,0,5,3000,1,5699
Vivo,3,32,8,13,4030,1,8490
Lava,24,24,0,0,800,0,798
Lava,4,24,0,0,800,0,840
Lava,24,24,0,0,800,0,798
Redmi,1,8,5,8,3000,1,4299
vivo,6,64,0,16,5000,1,12650
Apple,0,128,12,12,0,1,69900
Vivo,3,64,8,13,5000,1,9990
Redmi,6,128,13,48,4000,1,12999
I Kall,4,64,5,8,3000,1,4499
Apple,0,32,7,12,0,1,34999
Lenovo,3,32,5,13,4000,1,6999
Lava,4,3,0,0,1750,0,949
Lava,4,3,0,0,1750,0,949
Motorola,4,64,8,13,4000,1,8999
I Kall,2,16,0,5,2800,1,3599
OPPO,6,128,16,48,4020,1,16990
Realme,8,128,16,64,4000,1,18999
Realme,4,64,16,64,4000,1,15999
I Kall,2,16,0,5,2500,1,3199
Realme,6,64,16,64,4000,1,27999
OPPO,6,64,16,48,4000,1,15990
OPPO,6,128,16,48,4000,1,17990
Redmi,3,32,32,12,4000,1,9545
Nokia,4,4,0,0,800,0,1317
I Kall,4,32,0,5,3000,1,5699
Realme,8,128,16,48,3765,1,19999
Lava,4,1,0,0,800,0,745
Vivo,2,32,5,13,4030,1,6990
vivo,6,64,0,16,5000,1,12650
Vivo,2,32,5,13,4030,1,6990
OPPO,3,64,8,12,5000,1,11490
Samsung,4,64,16,48,6000,1,14239
Kechaoda,32,32,0,0,850,0,850
Vivo,4,128,20,13,5000,1,13990
I Kall,4,64,5,8,3000,1,4499
Vivo,6,128,32,48,3700,1,19990
Vivo,4,64,0,16,5000,1,11799
Apple,0,64,12,12,0,1,64900
I Kall,2,16,0,5,2800,1,3599
Apple,0,64,7,12,0,1,36999
OPPO,3,64,8,12,5000,1,11490
Micromax,32,32,0,0,1750,0,1024
Lava,32,32,0,1,1750,0,1399
POCO,8,256,20,12,4000,1,16999
I Kall,2,16,0,5,2500,1,3199
Realme,6,64,16,16,3500,1,10999
Samsung,4,64,8,12,3000,1,26999
OPPO,8,128,16,48,4000,1,19990
I Kall,4,32,0,5,3000,1,5699
OPPO,8,128,16,48,4000,1,19990
Apple,0,64,7,12,0,1,59999
Nokia,4,4,0,0,800,0,1265
Redmi,4,64,13,48,4000,1,11282
Redmi,4,64,13,48,4000,1,11575
I Kall,1,8,2,5,2200,1,3099
Vivo,4,128,20,13,5000,1,13990
Samsung,3,32,8,13,4000,1,9499
Moto,4,64,8,13,3000,1,6999
I Kall,4,64,5,8,3000,1,4499
OPPO,3,32,8,13,4230,1,7990
Lava,32,24,0,0,1000,0,1065
Samsung,2,32,8,13,4000,1,8499
POCO,6,128,20,64,4500,1,16999
Samsung,4,64,25,25,4000,1,14999
I Kall,2,16,0,5,2800,1,3599
Realme,4,128,16,48,3765,1,16999
POCO,6,128,20,64,4500,1,16999
Karbonn,32,32,0,0,1000,0,699
I Kall,2,16,0,5,2500,1,3199
Micromax,56,24,0,0,1750,0,770
Lava,32,24,0,0,1750,0,1299
Vivo,4,32,16,16,3260,1,8990
Lava,32,24,0,0,1750,0,1299
Kechaoda,32,32,0,0,1000,0,850
I Kall,4,32,0,5,3000,1,5699
Samsung,4,128,16,25,4000,1,15999
Apple,0,32,5,12,1715,1,25799
Apple,0,64,7,12,0,1,36999
I Kall,1,8,2,5,2200,1,3099
OPPO,4,64,8,12,5000,1,12990
OPPO,4,64,8,12,5000,1,12990
Samsung,3,32,8,13,4000,1,9499
Micromax,32,32,0,0,800,0,692
Redmi,6,128,20,48,4000,1,24999
I Kall,4,64,5,8,3000,1,4499
Karbonn,12,32,0,0,1750,0,1088
Micromax,32,32,0,1,1000,0,914
LG,3,32,16,12,4000,1,8849
POCO,8,256,20,64,4500,1,19999
Lava,32,24,0,0,1750,0,1089
OPPO,2,32,5,8,4000,1,7490
Vivo,8,128,32,48,4500,1,19990
Vivo,8,128,32,48,4500,1,19444
I Kall,2,16,0,5,2500,1,3199
Samsung,8,128,32,48,4500,1,39999
Samsung,6,128,32,48,4000,1,19999
Samsung,4,64,16,48,6000,1,14845
I Kall,4,32,0,5,3000,1,5699
Apple,0,128,12,12,0,1,69900
Nokia,4,4,0,0,800,0,1099
Karbonn,32,32,0,0,1000,0,755
Apple,0,32,5,12,1715,1,23999
Nokia,4,4,0,1,800,0,1645
I Kall,4,64,5,8,3000,1,4499
Itel,32,32,0,0,1000,0,799
Kechaoda,32,64,0,0,400,0,889
POCO,6,128,20,64,4500,1,16999
I Kall,2,16,0,5,2800,1,3599
Micromax,32,32,0,0,3000,0,1220
Samsung,0,0,0,0,800,0,1500
I Kall,32,64,0,0,1000,0,599
OnePlus,8,256,16,48,4085,1,52920
Asus,3,32,8,13,4000,1,7499
I Kall,2,16,0,5,2500,1,3199
Lava,32,24,0,0,1000,0,1065
Vivo,2,16,5,13,4030,1,7199
Note,6,64,0,64,4500,1,14999
I Kall,4,32,0,5,3000,1,5699
Note,8,128,0,64,4500,1,18899
Redmi,6,128,20,48,4000,1,24999
Realme,8,128,16,48,3765,1,19999
I Kall,32,64,0,0,800,0,599
Redmi,3,32,32,12,4000,1,9298
vivo,6,64,0,16,5000,1,12650
I Kall,32,64,0,0,1500,0,999
Vivo,4,128,32,16,4500,1,15990
Samsung,0,0,0,0,800,0,1500
I Kall,4,64,5,8,3000,1,4499
Apple,0,128,7,12,0,1,54900
Jivi,32,32,0,0,1000,0,855
Samsung,4,128,32,48,4000,1,17499
Itel,32,32,0,0,1000,0,755
OPPO,4,64,8,13,4230,1,10990
I Kall,2,16,0,5,2800,1,3599
OPPO,4,64,8,13,4230,1,10989
OPPO,3,32,8,13,4230,1,8990
Redmi,6,64,0,64,4500,1,14655
I Kall,2,16,0,5,2500,1,3199
Redmi,8,128,0,64,4500,1,18899
Redmi,6,64,20,12,4000,1,10999
Redmi,6,128,0,64,4500,1,16097
Kechaoda,32,32,0,0,1000,0,820
Itel,32,32,0,0,1000,0,738
I Kall,4,32,0,5,3000,1,5699
Lava,32,32,0,0,800,0,879
I Kall,32,64,0,0,1000,0,599
Infinix,3,32,8,13,3050,1,4499
vivo,6,64,0,16,5000,1,12650
Karbonn,1,8,5,5,2300,1,3099
Mi,6,128,32,48,4030,1,14999
Samsung,0,0,0,0,800,0,1500
Redmi,4,64,13,48,4000,1,9999
Tecno,2,32,8,8,4000,1,6299
I Kall,4,64,5,8,3000,1,4499
Honor,3,32,16,13,3000,1,7499
Honor,4,128,16,13,3000,1,8999
InFocus,4,64,8,13,3000,1,6290
I Kall,2,16,0,5,2800,1,3599
Redmi,6,128,20,48,4000,1,24999
Kechaoda,32,32,0,0,800,0,837
ITEL,2,32,0,8,2400,1,4680
Apple,0,64,7,12,0,1,49900
Redmi,4,64,13,12,4000,1,11999
I Kall,2,16,0,5,2500,1,3199
Samsung,6,128,32,48,4000,1,23999
Realme,4,64,0,13,3500,1,10999
Micromax,32,32,0,0,1750,0,850
I Kall,4,32,0,5,3000,1,5699
Micromax,1,8,2,5,2000,1,3299
Apple,0,64,12,12,0,1,64900
Micromax,32,32,0,0,1750,0,798
Kechaoda,32,32,0,0,400,0,880
