Company,RAM,Storage,Front Camera,Back Camera,Battery Capacity,Internet Connectivity 4G,Price
Redmi,4,64,8,12,5000,1,7999
Redmi,4,64,8,12,5000,1,7999
Realme,4,64,16,64,4300,1,12999
Realme,3,32,5,12,5000,1,6999
Realme,4,64,16,64,4300,1,13999
Realme,8,128,16,64,4300,1,18999
Vivo,3,32,8,13,5000,1,8990
Realme,6,64,16,64,4300,1,16999
Realme,4,128,8,12,5000,1,11999
Realme,4,64,5,12,5000,1,7999
Realme,4,128,8,12,5000,1,11999
Redmi,2,32,8,12,5000,1,6499
Redmi,4,64,8,12,5000,1,7999
I,4,64,5,8,3000,1,4499
Redmi,2,32,8,12,5000,1,6499
Realme,6,128,16,64,4300,1,14999
Apple,,32,7,12,0,1,24999
Realme,6,128,16,64,4300,1,14999
Realme,3,32,13,12,5000,1,8499
I,2,16,0,5,2800,1,4399
Realme,3,32,5,13,4000,1,6999
Vivo,6,128,32,16,5000,1,14990
Vivo,4,64,32,16,5000,1,11990
I,4,64,5,8,3000,1,4499
Realme,4,64,16,48,4035,1,11999
Realme,6,64,16,48,4035,1,12999
Realme,8,128,16,48,4035,1,14999
Realme,8,128,16,48,4035,1,14999
Realme,8,128,16,64,4300,1,15999
I,4,64,5,8,3000,1,4499
OPPO,8,256,16,48,4065,1,49990
Vivo,3,64,8,13,5000,1,9490
Redmi,3,32,8,12,5000,1,6999
I,2,16,0,5,2800,1,4399
POCO,6,128,20,64,4500,1,16999
Realme,3,32,5,13,4000,1,6999
Realme,3,32,5,13,4000,1,6999
POCO,8,256,20,64,4500,1,19999
Realme,6,64,16,48,4035,1,12999
I,4,64,5,8,3000,1,4499
Apple,,64,7,12,0,1,52999
Yu,2,16,5,13,4000,1,3799
Lava,0.0234375,0.0234375,0,0,800,0,745
I,2,16,0,5,2800,1,3699
Vivo,6,128,32,48,4500,1,16990
Vivo,6,64,32,48,4500,1,15990
Vivo,8,128,32,48,4500,1,17990
Vivo,8,128,32,48,4500,1,17990
POCO,8,256,20,12,4000,1,16999
