Company,RAM,Storage,Front Camera,Back Camera,Battery Capacity,Internet Connectivity 4G,Price
Redmi,4,64,8,12,5000,1,8199
Realme,4,64,16,64,4300,1,12999
Realme,8,128,16,64,4300,1,18999
Redmi,4,64,8,12,5000,1,8199
Realme,4,64,16,64,4300,1,12999
Realme,4,64,5,12,5000,1,7999
Realme,4,64,13,48,5000,1,9999
Realme,4,64,8,12,5000,1,8999
Realme,2,32,5,13,4000,1,5999
Realme,3,32,5,13,4000,1,6999
Realme,6,64,16,64,4300,1,16999
Redmi,4,64,8,12,5000,1,8199
Realme,3,32,5,13,4000,1,6999
Snexian,0,0,0,1,1000,0,628
Redmi,2,32,8,12,5000,1,6499
Infinix,4,64,8,13,5000,1,6999
Vivo,3,32,8,13,5000,1,8990
Redmi,3,32,8,12,5000,1,6999
Realme,6,128,16,64,4300,1,14999
Gfive,0,0,0,0,1800,0,699
Realme,4,64,5,12,5000,1,7999
Infinix,4,64,16,48,4000,1,9999
Infinix,4,64,16,48,4000,1,9999
Gfive,0,0,0,1,1800,0,699
Vivo,6,128,32,16,5000,1,15990
Vivo,6,64,32,16,5000,1,13990
Redmi,4,64,13,48,4000,1,10999
Lava,0,0,0,0,800,0,745
POCO,6,128,20,64,4500,1,16999
Snexian,0,0,0,1,1000,0,628
Yu,2,16,5,13,4000,1,3999
OPPO,4,64,16,13,4230,1,9990
Realme,8,128,16,64,4300,1,18999
Gfive,0,0,0,0,1800,0,699
Vivo,4,64,16,13,5000,1,11990
Vivo,4,64,16,13,5000,1,11990
Vivo,3,32,8,13,4030,1,8490
POCO,6,64,20,64,4500,1,15999
Realme,8,128,16,64,4000,1,18999
Gfive,0,0,0,1,1800,0,699
Redmi,6,128,13,48,4000,1,11999
Redmi,6,64,13,48,4000,1,10999
Vivo,3,32,8,13,5000,1,8990
Good,0,0,0,0,1000,0,1449
Moto,4,64,8,13,3000,1,6999
Redmi,6,64,13,48,4000,1,10999
POCO,6,128,20,64,4500,1,16999
Gionee,2,16,5,8,2670,1,3499
Nokia,0,0,0,0,800,0,1081
Snexian,0,0,0,1,1000,0,628
OPPO,6,64,16,48,4000,1,15990
POCO,8,256,20,12,4000,1,16999
Lava,0,0,0,0,800,0,840
Gfive,0,0,0,0,1800,0,699
Lava,0,0,0,0,800,0,798
Lava,0,0,0,0,800,0,798
Vivo,3,64,8,13,5000,1,9990
Redmi,6,64,0,64,4500,1,14939
Redmi,6,128,0,64,4500,1,16599
Gfive,0,0,0,1,1800,0,699
Vivo,3,64,8,13,5000,1,9990
Redmi,8,128,0,64,4500,1,18999
Redmi,6,64,0,64,4500,1,15450
Good,0,0,0,0,1000,0,1449
Nokia,0,0,0,0,800,0,1065
Realme,4,64,16,64,4000,1,15999
Vivo,8,128,32,48,4500,1,18990
OPPO,8,128,16,48,4000,1,19990
Honor,6,128,16,48,4000,1,16999
Gfive,0,0,0,1,1050,0,649
POCO,8,256,20,64,4500,1,19999
Micromax,0,0,0,0,2500,0,775
Apple,0,32,7,12,0,1,34999
Snexian,0,0,0,1,1000,0,628
Lava,0,0,0,0,1750,0,949
Motorola,4,64,8,13,4000,1,8999
Lava,0,0,0,0,600,0,621
Mi,4,64,32,48,4030,1,11999
Redmi,4,64,13,48,4000,1,9999
Gfive,0,0,0,0,1800,0,699
POCO,8,256,20,64,4500,1,19999
Tecno,2,32,8,8,4000,1,6299
Micromax,0,0,0,0,2200,0,985
Gfive,0,0,0,1,1800,0,699
Vivo,4,128,20,13,5000,1,13990
Vivo,4,64,0,16,5000,1,11888
Vivo,8,128,32,48,3700,1,26990
I,0,0,0,0,1000,0,489
Lava,0,0,0,0,800,0,745
Good,0,0,0,0,1000,0,1449
Micromax,0,0,0,0,1750,0,799
Moto,4,64,8,13,3000,1,6999
Redmi,6,128,13,48,4000,1,11999
Gfive,0,0,0,1,1050,0,649
Nokia,0,0,0,0,800,0,1319
Redmi,4,64,13,48,4000,1,10999
OPPO,4,64,8,12,4230,1,11490
Lava,0,0,0,0,1750,0,1299
Apple,0,64,12,12,0,1,64900
Snexian,0,0,0,1,1000,0,628
Kechaoda,0,0,0,0,850,0,845
Kechaoda,0,0,0,0,850,0,845
Realme,8,128,16,64,4000,1,18999
Gfive,0,0,0,0,1800,0,699
Realme,4,64,16,64,4000,1,15999
Yu,2,16,5,13,4000,1,3999
Realme,4,64,13,13,4230,1,7999
OPPO,8,128,16,48,4000,1,19990
Vivo,8,128,32,48,4500,1,18990
Gfive,0,0,0,1,1800,0,699
Vivo,8,128,32,48,4500,1,18990
Redmi,6,128,13,48,4000,1,11999
Micromax,0,0,0,1,800,0,720
Good,0,0,0,0,1000,0,1449
Apple,0,32,7,12,0,1,34999
Redmi,3,32,8,12,5000,1,6999
Vivo,3,32,8,13,5000,1,8990
Samsung,3,32,8,13,4000,1,9499
Nokia,0,0,0,0,800,0,1099
Gfive,0,0,0,1,1050,0,649
Apple,0,32,7,12,0,1,34999
Micromax,0,0,0,0,1750,0,797
Motorola,4,128,12,12,3500,1,9999
Snexian,0,0,0,1,1000,0,628
Samsung,2,32,8,13,4000,1,8499
I,2,16,0,5,2500,1,2999
Kechaoda,0,0,0,0,850,0,875
Vivo,3,32,8,13,5000,1,8990
Redmi,6,128,20,48,4000,1,24999
Gfive,0,0,0,0,1800,0,699
Kechaoda,0,0,0,0,850,0,845
Nokia,0,0,0,0,800,0,1263
Karbonn,2,16,5,5,2800,1,3499
Gfive,0,0,0,1,1800,0,699
OPPO,3,64,8,12,5000,1,11490
Apple,0,64,12,12,0,1,64900
Micromax,0,0,0,1,1000,0,905
Itel,0,0,0,0,1000,0,810
Redmi,2,32,5,12,4000,1,6199
Good,0,0,0,0,1000,0,1449
Apple,0,64,12,12,0,1,64900
Redmi,3,32,13,48,4000,1,8999
Apple,0,64,7,12,0,1,49900
Gfive,0,0,0,1,1050,0,649
Apple,0,128,12,12,0,1,69900
Samsung,3,32,8,13,4000,1,9499
Samsung,4,64,16,48,6000,1,14160
Kechaoda,0,0,0,0,1000,0,855
