Company,RAM,Storage,Front Camera,Back Camera,Battery Capacity,Internet Connectivity 4G,Price
Redmi,4.0,64.0,8,12,5000,1,7999
Redmi,4.0,64.0,8,12,5000,1,7999
Realme,4.0,64.0,16,64,4300,1,12999
Realme,3.0,32.0,5,12,5000,1,6999
Realme,4.0,64.0,16,64,4300,1,12999
Realme,8.0,128.0,16,64,4300,1,18999
Vivo,3.0,32.0,8,13,5000,1,8990
Realme,6.0,64.0,16,64,4300,1,16999
Realme,4.0,128.0,8,12,5000,1,9999
Realme,4.0,64.0,5,12,5000,1,7999
Realme,4.0,128.0,8,12,5000,1,9999
Redmi,2.0,32.0,8,12,5000,1,6499
Redmi,4.0,64.0,8,12,5000,1,7999
I,4.0,64.0,5,8,3000,1,4499
Redmi,2.0,32.0,8,12,5000,1,6499
Realme,6.0,128.0,16,64,4300,1,14999
Apple,,32.0,7,12,0,1,24999
Realme,6.0,128.0,16,64,4300,1,14999
Realme,3.0,32.0,13,12,5000,1,8499
I,2.0,16.0,0,5,2800,1,3749
Realme,3.0,32.0,5,13,4000,1,6999
Vivo,6.0,128.0,32,16,5000,1,15990
Vivo,4.0,64.0,32,16,5000,1,12990
I,4.0,64.0,5,8,3000,1,4499
Realme,4.0,64.0,16,48,4035,1,11999
Realme,6.0,64.0,16,48,4035,1,12999
Realme,8.0,128.0,16,48,4035,1,14999
Realme,8.0,128.0,16,48,4035,1,14999
Realme,8.0,128.0,16,64,4300,1,15999
I,4.0,64.0,5,8,3000,1,4499
OPPO,8.0,256.0,16,48,4065,1,49990
Vivo,3.0,64.0,8,13,5000,1,9490
Redmi,3.0,32.0,8,12,5000,1,6999
I,2.0,16.0,0,5,2800,1,3749
POCO,6.0,128.0,20,64,4500,1,16999
Realme,3.0,32.0,5,13,4000,1,6999
Realme,3.0,32.0,5,13,4000,1,6999
POCO,8.0,256.0,20,64,4500,1,19999
Realme,6.0,64.0,16,48,4035,1,12999
I,4.0,64.0,5,8,3000,1,4499
Apple,,64.0,7,12,0,1,52999
Yu,2.0,16.0,5,13,4000,1,3799
Lava,0.0234375,0.0234375,0,0,800,0,745
I,2.0,16.0,0,5,2800,1,3699
Vivo,6.0,128.0,32,48,4500,1,16990
Vivo,6.0,64.0,32,48,4500,1,15990
Vivo,8.0,128.0,32,48,4500,1,17990
Vivo,8.0,128.0,32,48,4500,1,17990
POCO,8.0,256.0,20,12,4000,1,16999
OnePlus,8.0,256.0,16,48,3800,1,37999
Redmi,4.0,64.0,13,48,4000,1,9999
Realme,8.0,128.0,16,64,4000,1,17999
Nokia,0.00390625,0.00390625,0,0,800,0,1075
Nokia,0.00390625,0.00390625,0,0,800,0,1077
Nokia,0.00390625,0.00390625,0,0,800,0,1097
Nokia,0.00390625,0.00390625,0,0,800,0,1099
Moto,4.0,64.0,8,13,3000,1,7499
Google,4.0,64.0,8,12,3000,1,26999
Redmi,4.0,64.0,13,48,4000,1,9999
OnePlus,8.0,128.0,16,48,3800,1,35490
Infinix,4.0,64.0,8,13,5000,1,7499
Infinix,4.0,64.0,8,13,5000,1,7499
Infinix,4.0,64.0,8,13,5000,1,7499
OPPO,4.0,64.0,16,13,4230,1,15999
Vivo,8.0,128.0,32,48,4500,1,18990
Honor,4.0,128.0,32,24,3400,1,9999
Honor,4.0,128.0,32,24,3400,1,10999
Micromax,0.03125,0.03125,0,1,800,0,688
Micromax,0.03125,0.03125,0,0,2500,0,770
OPPO,4.0,64.0,8,12,4230,1,11490
OPPO,4.0,64.0,8,12,4230,1,11490
OPPO,6.0,64.0,16,48,4000,1,15990
Vivo,2.0,32.0,5,13,4030,1,6990
I,4.0,64.0,5,8,3000,1,4499
Tecno,4.0,64.0,16,48,5000,1,9999
Samsung,4.0,64.0,8,12,3000,1,19999
Redmi,6.0,64.0,20,12,4000,1,12999
Realme,4.0,128.0,16,48,3765,1,14999
Redmi,8.0,128.0,0,64,4500,1,19999
I,2.0,16.0,0,5,2800,1,3749
Redmi,6.0,128.0,0,64,4500,1,16698
Redmi,6.0,64.0,0,64,4500,1,15401
Redmi,6.0,128.0,0,64,4500,1,16499
I,4.0,64.0,5,8,3000,1,4499
Redmi,6.0,128.0,0,64,4500,1,16698
Vivo,3.0,32.0,8,13,4030,1,8490
Vivo,4.0,128.0,16,16,5000,1,13990
Vivo,4.0,128.0,16,16,5000,1,13990
Samsung,4.0,64.0,8,12,3000,1,19999
I,2.0,16.0,0,5,2500,1,3199
Apple,,32.0,7,12,0,1,32999
Redmi,6.0,64.0,13,48,4000,1,10999
OPPO,8.0,128.0,16,48,4000,1,19990
I,2.0,16.0,0,5,2800,1,3699
Vivo,3.0,64.0,8,13,5000,1,9990
