Company,RAM,Storage,Front Camera,Back Camera,Battery Capacity,Price,Prediction
Lava,24,24,0,0,800,745,599
Micromax,1,8,2,5,2000,3590,3599
Infinix,4,64,8,13,5000,6999,4499
Niamia,32,32,0,0,1000,1299,999
Karbonn,32,32,0,0,1900,1041,999
Niamia,32,32,0,0,1000,1499,999
I Kall,32,64,0,0,1000,599,599
Ssky,32,32,0,1,1200,2529,999
InFocus,4,64,8,13,3000,6290,4499
InFocus,2,16,5,5,2400,3899,4499
Tork,32,32,0,0,1800,1080,999
Niamia,32,32,0,0,1000,899,999
mPhone,3,32,13,13,3000,7299,10999
I Kall,2,16,0,5,2500,3399,3599
Salora,32,32,0,1,2000,659,999
Lenovo,2,32,5,13,4900,15999,6999
OPPO,3,64,8,12,5000,11490,6999
I Kall,2,16,0,5,2800,3599,3599
I Kall,2,16,0,5,2800,3599,3599
Mymax,32,32,0,1,1000,999,999
Kechaoda,32,32,0,0,1000,850,599
Intex,56,56,0,0,1800,1449,999
Infinix,4,64,16,12,4500,6999,4499
Samsung,3,32,5,13,3000,14995,10999
Redmi,6,64,13,48,4000,10999,9999
I Kall,32,64,0,0,800,1795,599
Itel,32,32,0,0,2500,1136,5699
Niamia,32,32,0,0,1000,1399,999
I Kall,2,16,0,5,2500,3199,3599
Lava,32,25,0,0,1000,1149,799
Ssky,32,32,0,0,1200,1299,999
XOLO,4,64,16,13,3260,8699,10999
Karbonn,32,32,0,0,1000,899,599
I Kall,1,8,2,5,2200,3099,3599
Ziox,32,32,0,0,1000,799,799
Karbonn,12,32,0,0,1750,1088,5699
Redmi,3,32,16,12,3080,8999,10999
Niamia,32,32,0,0,1000,1299,999
Micromax,512,4,0,2,1300,2499,2499
I Kall,4,32,0,5,3000,5699,5699
Kechaoda,32,64,0,0,400,889,599
Samsung,4,128,32,48,4000,17499,19999
Kechaoda,32,64,0,0,1700,939,999
OPPO,3,64,16,13,4230,12990,10999
Lava,32,24,0,0,1750,1299,999
Lava,32,32,0,0,800,879,599
Redmi,3,32,8,12,5000,6999,6999
I Kall,32,64,0,0,1000,599,599
OPPO,3,64,16,13,4230,13450,10999
Samsung,4,64,8,13,3000,14990,10999
Karbonn,32,32,0,0,3000,1099,5699
Niamia,32,32,0,0,1000,1299,999
Tecno,4,64,16,13,3750,14074,10999
I Kall,4,64,5,8,3000,4499,4499
Shomi,32,32,0,0,1000,799,999
Micromax,256,12,0,0,1200,1249,899
Ssky,32,32,0,2,3000,999,999
Kechaoda,32,32,0,0,3600,1390,5699
Samsung,6,64,25,25,4000,17999,10999
Vivo,6,128,32,48,4500,16990,19999
I Kall,4,32,0,5,3000,5699,5699
MTR,64,64,0,0,800,799,999
OPPO,4,64,8,12,5000,12990,6999
Detel,32,512,0,0,1500,799,790
POCO,8,256,20,12,4000,16999,4499
I Kall,32,64,0,0,1800,1299,999
Lava,32,24,0,0,1000,1065,799
Samsung,6,128,10,16,3100,47990,4499
Tymes,32,32,0,1,5000,879,12650
I Kall,2,16,0,5,2500,3199,3599
I Kall,4,64,5,8,3000,4499,4499
Redmi,6,128,13,48,4000,12999,19999
MTR,64,64,0,0,800,999,999
Inovu,32,32,0,0,1200,799,599
Hicell,32,64,0,0,1050,539,599
POCO,6,128,20,64,4500,16999,19999
I Kall,32,64,0,0,1000,1199,599
OPPO,2,32,5,8,4000,7490,6999
OPPO,2,16,8,13,3180,8990,10999
Tambo,24,32,0,1,1000,890,799
Intex,32,32,0,1,1300,999,599
Mi,6,128,20,20,3010,15999,4499
Winstar,32,32,0,0,600,949,799
Karbonn,32,32,0,0,800,1339,599
Samsung,4,64,8,13,4000,12999,10999
Kechaoda,32,32,0,0,800,899,599
Gfive,32,64,0,0,1050,1199,599
I Kall,2,16,0,5,2500,3399,3599
Nubia,12,256,16,48,5000,47999,16999
Karbonn,56,56,0,0,1750,1368,999
Realme,8,128,16,48,4035,15999,19999
Samsung,4,64,16,48,6000,14449,15990
I Kall,32,64,0,0,1000,999,599
Ssky,64,64,0,1,1200,2529,999
Honor,6,128,32,48,3750,22999,13999
I Kall,4,32,0,5,3000,5699,5699
Karbonn,32,32,0,0,2700,950,5699
OPPO,8,128,16,48,4000,19990,19999
Gionee,2,16,5,13,3000,5499,4499
Niamia,32,32,0,0,1000,1399,999
Kechaoda,64,64,0,0,2000,999,999
Itel,32,32,0,0,1000,1060,599
Kechaoda,32,32,0,0,1000,820,599
Vivo,3,64,8,13,5000,9990,12650
Samsung,1,16,5,5,2600,5290,10999
Itel,32,32,0,2,2500,1095,999
I Kall,4,64,5,8,3000,4499,4499
Redmi,6,128,20,48,4000,22999,19999
Redmi,2,32,8,12,5000,6499,6999
Jivi,32,32,0,0,2750,925,5699
Kechaoda,32,32,0,0,1000,850,599
I Kall,2,16,0,5,2500,3199,3599
JIVI Kall,3,30,0,0,1800,899,5699
Redmi,3,32,5,12,4000,9499,10999
Itel,32,32,0,1,1900,1410,999
Realme,4,64,0,13,3500,10999,5699
Panasonic,3,16,5,13,2500,8999,10999
MTR,64,64,0,0,2000,999,999
itel,32,32,0,0,2500,1149,999
Google,4,64,8,12,3700,34999,4499
I Kall,32,64,0,0,800,599,599
Ssky,64,64,0,1,1200,999,999
I Kall,4,64,5,8,3000,4499,4499
Comio,1,32,5,8,2200,4995,4499
Inovu,32,32,0,0,800,649,599
ZIOX,32,32,0,0,2500,949,999
Samsung,4,64,25,25,4000,14999,10999
Nokia,4,8,0,0,1020,1600,799
Intex,32,32,0,0,800,759,599
