Company,RAM,Storage,Front Camera,Back Camera,Battery Capacity,Prediction With Company,Price,Prediction Without Company
Kara,0.0009765625,0.0009765625,0,0,4000,3699,799,3699
Honor,6.0,128.0,32,48,3750,23999,21999,23999
Kechaoda,0.03125,0.03125,0,0,850,1199,845,1199
Redmi,6.0,128.0,20,48,4000,14999,23999,14999
Honor,4.0,64.0,16,13,3000,4499,8499,4499
LG,4.0,64.0,8,16,3300,4499,5999,4499
I,4.0,64.0,5,8,3000,4499,4499,4499
I,2.0,16.0,0,5,2800,3699,3749,3699
I,2.0,16.0,0,5,2500,3699,3199,3699
Peace,0.03125,0.0625,0,0,850,799,1075,1199
Ssky,0.03125,0.03125,0,1,1800,999,1099,999
OPPO,3.0,32.0,8,13,4230,6999,7490,6999
Blackbear,0.03125,0.03125,0,1,1050,599,620,799
Ssky,0.0625,0.0625,0,1,1200,799,999,799
Micromax,0.03125,0.03125,0,0,1800,999,1069,999
Realme,3.0,32.0,5,13,4000,7999,6999,3699
Nokia,2.0,16.0,5,13,3000,8499,5499,6999
Yuho,4.0,32.0,0,13,3000,3199,6499,3199
POCO,6.0,128.0,20,64,4500,14999,16999,14999
Samsung,8.0,128.0,10,16,3400,4499,66999,4499
I,2.0,16.0,0,5,2800,3699,3699,3699
Itel,1.0,8.0,2,5,2400,3199,5447,3699
Intex,0.03125,0.03125,0,0,1300,1199,899,799
BlackZone,0.0625,0.0625,0,0,1800,599,799,999
I,0.03125,0.03125,0,0,800,1199,1199,599
Vivo,3.0,32.0,8,13,5000,7999,8990,6999
Vivo,3.0,64.0,8,13,5000,7999,9490,7999
Kechaoda,0.03125,0.03125,0,0,800,1199,940,599
I,4.0,64.0,5,8,3000,4499,4499,4499
Kechaoda,0.03125,0.03125,0,0,1000,1199,690,1199
I,0.03125,0.0625,0,0,1000,1199,999,1199
POCO,6.0,128.0,20,12,4000,4499,14999,4499
Good,0.03125,0.03125,0,0,1000,599,1499,1199
Samsung,3.0,16.0,5,13,3300,8499,14990,3699
Heemax,0.5,0.03125,0,0,1000,599,549,1199
Realme,3.0,32.0,5,13,4000,7999,6999,3699
Blackbear,0.0625,0.0625,0,2,6000,3699,1699,3699
I,2.0,16.0,0,5,2800,3699,3749,3699
OPPO,4.0,64.0,8,12,5000,7999,12990,7999
Niamia,0.03125,0.03125,0,0,1000,799,1799,1199
I,2.0,16.0,0,5,2800,3699,3749,3699
Muphone,0.03125,0.03125,0,1,1700,999,1099,999
Ismart,0.00390625,16.0,0,1,2800,999,1049,999
M-tech,0.03125,0.03125,0,0,1800,999,999,999
I,4.0,64.0,5,8,3000,4499,4499,4499
Gionee,2.0,16.0,5,13,3000,3699,5999,6999
POCO,8.0,256.0,20,12,4000,16999,18999,16999
Intex,0.03125,0.03125,0,1,1700,1199,1165,999
I,4.0,64.0,5,8,3000,4499,4499,4499
Gfive,0.0625,0.25,0,0,1050,599,649,799
Redmi,6.0,64.0,0,64,4500,14999,15401,14999
ZIOX,1.0,8.0,0,5,2500,999,3731,3699
I,2.0,16.0,0,5,2500,3699,3199,3699
Realme,8.0,128.0,16,48,3765,19999,17999,19999
Kechaoda,0.03125,0.0625,0,0,1700,999,1100,999
Honor,4.0,128.0,16,13,3000,4499,8999,16999
Niamia,0.03125,0.03125,0,0,1000,799,1799,1199
Vivo,8.0,128.0,32,48,4500,17990,17990,17990
Honor,4.0,128.0,32,24,3400,23999,10999,23999
Tecno,4.0,64.0,13,13,6000,7999,10000,7999
Realme,8.0,128.0,16,64,4000,19999,29999,19999
OPPO,8.0,128.0,16,48,4000,19999,21990,19999
Daps,0.03125,0.03125,0,0,1000,599,590,1199
nuvo,0.03125,0.03125,0,1,1000,799,799,1199
Blackbear,0.0625,0.0625,0,2,1000,599,599,1199
Gionee,2.0,16.0,5,13,3000,3699,5487,6999
I,2.0,16.0,0,5,2800,3699,3749,3699
Panasonic,3.0,16.0,5,13,5000,6999,8499,6999
Forme,0.03125,0.03125,0,0,600,599,1249,599
Mobiistar,1.0,8.0,5,5,2700,999,3999,999
MTR,0.0625,0.0625,0,0,2000,999,949,999
Samsung,6.0,128.0,24,24,3300,19990,17990,19990
Samsung,4.0,64.0,24,24,3300,15990,19999,15990
Ziox,0.03125,0.03125,0,0,1800,799,998,999
Micromax,0.03125,0.03125,0,0,1450,999,1199,999
I,4.0,64.0,5,8,3000,4499,4499,4499
I,2.0,16.0,0,5,2500,3699,3199,3699
I,4.0,64.0,5,8,3000,4499,4499,4499
Samsung,6.0,128.0,10,16,3100,4499,47990,4499
Ziox,0.5,0.5,0,0,1750,799,849,999
MTR,0.0625,0.0625,0,0,800,799,899,599
