RAM,Storage,Front Camera,Back Camera,Battery Capacity,Company,Price,Prediction
0.03125,0.03125,0,0,1500,Forme,890,999
0.03125,0.03125,0,0,1000,Ziox,799,999
4.0,64.0,0,13,5000,Samsung,13899,3749
4.0,64.0,5,8,3000,I,4499,4499
3.0,32.0,13,13,3000,Lava,8999,8999
0.03125,0.0625,0,0,800,I,1199,599
0.03125,0.03125,0,0,1500,Winstar,990,999
2.0,16.0,0,5,2800,I,3699,3749
6.0,128.0,8,16,3000,LG,16999,4499
0.03125,0.03125,0,1,1000,nuvo,799,599
4.0,64.0,5,8,3000,I,4499,4499
0.03125,0.03125,0,1,1200,Gfive,1999,999
1.0,8.0,0,5,2200,I,3099,3199
3.0,32.0,5,13,3120,Redmi,6999,4499
0.03125,0.0625,0,0,800,I,539,599
8.0,256.0,16,48,4440,iQOO,39990,16999
0.0625,0.0625,0,0,800,MTR,1099,599
0.03125,0.03125,0,0,1800,M-tech,999,999
0.03125,0.03125,0,0,1900,Peace,899,999
3.0,32.0,8,13,4000,Asus,6999,6999
2.0,16.0,5,13,3000,Gionee,5487,6999
0.00390625,0.00390625,0,0,800,Nokia,1247,599
0.03125,0.03125,0,1,1200,Lava,1479,999
2.0,16.0,0,5,2800,I,3749,3749
0.03125,0.03125,0,0,1000,Easyfone,2499,999
2.0,16.0,0,5,2500,I,3199,3199
2.0,16.0,8,13,3000,Voto,6599,6999
1.0,8.0,2,5,2400,Itel,4399,999
0.03125,0.03125,0,0,1000,Jivi,799,999
0.03125,0.0625,0,0,800,I,1199,599
0.03125,0.03125,0,0,1000,Itel,899,999
4.0,64.0,0,16,5000,Vivo,13999,3749
2.0,16.0,0,5,2800,I,3699,3749
4.0,64.0,5,8,3000,I,4499,4499
2.0,16.0,8,13,3050,Tecno,5199,6999
8.0,128.0,16,64,4300,Realme,15999,29999
0.0625,0.0625,0,0,1800,BlackZone,799,999
8.0,128.0,16,64,4000,Realme,17999,29999
4.0,64.0,5,8,3000,I,4499,4499
0.03125,0.03125,0,0,1050,Forme,899,999
4.0,64.0,5,8,3000,I,4499,4499
0.03125,0.03125,0,0,1000,Good,1499,999
2.0,16.0,0,5,2800,I,3699,3749
2.0,16.0,5,13,4000,Yu,3799,6999
4.0,64.0,5,8,3000,I,4499,4499
3.0,16.0,8,13,3300,Samsung,11200,6999
0.03125,0.0625,0,0,1050,Hicell,599,999
4.0,64.0,5,8,3000,I,4499,4499
